name,asset_class ,open_time_st ,open_time_dst ,close_time_st ,close_time_dst,timezone,auction_duration,breaks,exchange,weekday_open_schedule,weekday_closed_schedule,st_structure,dst_structure
CNHJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
SGDJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
SEKMXN,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
SEKJPY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
SEKTRY,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
SEKAU,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
USDSEK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
NOKSEK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
CADSEK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
EURSEK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
DKKSEK,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
USDCHF,forex,None,None,None,None,America/New_York,0,None,None,"[6, 0, 1, 2, 3]","[0, 1, 2, 3, 4]",standard,standard
