date,type
2025-01-01,full
2025-01-28,12:00
2025-01-29,full
2025-01-30,full
2025-03-31,full
2025-04-18,full
2025-05-01,full
2025-05-12,full
2025-06-06,full
2025-10-20,full
2025-12-24,12:00
2025-12-25,full
2025-12-31,12:00
