date,type
2025-01-01,full 
2025-01-06,full 
2025-04-17,12:55
2025-04-18,full 
2025-04-21,full 
2025-04-30,12:55
2025-05-01,full 
2025-05-28,12:55
2025-05-29,full 
2025-06-06,full 
2025-06-20,full 
2025-10-31,12:55
2025-12-24,full 
2025-12-25,full 
2025-12-26,full 
2025-12-31,full 
