date,type
2025-04-18,full
2025-04-21,full
2025-05-01,full
2025-12-24,full
2025-12-25,full
2025-12-26,full
2025-12-31,full
2026-01-01,full
2026-04-03,full
2026-04-06,full
2026-05-01,full
2026-12-24,full
2026-12-25,full
2026-12-31,full
2027-01-01,full
2027-03-26,full
2027-03-29,full
