date,type
2025-01-01,full
2025-01-28,12:00
2025-01-29,full
2025-01-30,full
2025-01-31,full
2025-04-04,full
2025-04-18,full
2025-04-21,full
2025-05-01,full
2025-05-05,full
2025-07-01,full
2025-10-01,full
2025-10-07,full
2025-10-29,full
2025-12-24,12:00
2025-12-25,full
2025-12-26,full
2025-12-31,12:00
