date,type
2025-01-01,full
2025-01-27,full
2025-04-18,full
2025-04-21,full
2025-04-25,full
2025-06-09,full
2025-12-25,full
2025-12-26,full
2026-01-01,full
2026-01-26,full
2026-04-03,full
2026-04-06,full
2026-06-08,full
2026-12-25,full
2026-12-28,full
2027-01-01,full
2027-01-26,full
